"Story","Title","Result","Date","Stability","Duration (s)"
"Add product in the cart","Adds a product","SUCCESS","2023-07-23T21:00:53.9403847-05:00[America/Bogota]","0.0","11.44"
"Add product in the cart","Fill Guest","SUCCESS","2023-07-23T21:01:11.8921005-05:00[America/Bogota]","0.0","24.48"
